id,Municipality,Area km2,VIIRS Fires,VIIRS Fires per 1000km2,Year
1100015,Alta Floresta D'Oeste,7075.46281891544,18,2.54400319253732,2012
1100023,Ariquemes,4391.39477282046,170,38.7120741346637,2012
1100031,Cabixi,1309.03214544487,21,16.0423867917035,2012
1100049,Cacoal,3794.08007037817,39,10.2791715716513,2012
1100056,Cerejeiras,2785.82566173368,27,9.69192019833622,2012
1100064,Colorado do Oeste,1448.56790668314,4,2.76134793650028,2012
1100072,Corumbiara,3060.33665281827,282,92.1467250148135,2012
1100080,Costa Marques,4966.37037396192,52,10.4704232838996,2012
1100098,Espigão D'oeste,4518.59611134392,112,24.7864596082895,2012
1100106,Guajará-Mirim,24831.0141853027,167,6.72546029548991,2012
1100114,Jaru,2916.70982146976,27,9.25700589110864,2012
1100122,Ji-Paraná,6878.32257854719,64,9.30459414619629,2012
1100130,Machadinho D'oeste,8509.85794609803,956,112.340300631969,2012
1100148,Nova Brasilândia D'oeste,1704.58399523373,14,8.21314762965398,2012
1100155,Ouro Preto do Oeste,1979.59135982278,31,15.6597975871016,2012
1100189,Pimenta Bueno,6242.21073969691,113,18.1025608894273,2012
1100205,Porto Velho,34091.0748780448,3953,115.954102771509,2012
1100254,Presidente Médici,1759.00155222961,13,7.39055629798732,2012
1100262,Rio Crespo,1727.80987349966,241,139.482939469409,2012
1100288,Rolim de Moura,1455.0392772401,41,28.1779335041513,2012
1100296,Santa Luzia D'oeste,1195.305521462,10,8.36606191508998,2012
1100304,Vilhena,11526.9463530844,573,49.7096093317615,2012
1100320,São Miguel do Guaporé,7456.00271166598,140,18.7768172054109,2012
1100338,Nova Mamoré,10085.82957612,802,79.5175046283625,2012
1100346,Alvorada D'Oeste,3029.56768696574,17,5.61136167154804,2012
1100379,Alto Alegre dos Parecis,3921.63182694777,47,11.9848068543906,2012
1100403,Alto Paraíso,2645.84656273083,380,143.621329124919,2012
1100452,Buritis,3264.20997938326,340,104.159965856192,2012
1100601,Cacaulândia,1997.49417372716,19,9.51191760652177,2012
1100700,Campo Novo de Rondônia,3437.93778952101,130,37.8133660231566,2012
1100809,Candeias do Jamari,6839.09801018796,503,73.5477104218566,2012
1100908,Castanheiras,890.669924185334,5,5.61375192338883,2012
1100924,Chupinguaia,5122.88876474738,421,82.180195458677,2012
1100940,Cujubim,3857.52466767164,1089,282.305388511568,2012
1101005,Governador Jorge Teixeira,5061.51127047508,15,2.96354175629289,2012
1101104,Itapuã do Oeste,4084.54032240828,114,27.9101174187416,2012
1101203,Ministro Andreazza,798.317881437347,9,11.2737046347951,2012
1101302,Mirante da Serra,1206.9523299704,11,9.11386450554329,2012
1101401,Monte Negro,1928.83597701334,67,34.7359758934735,2012
1101435,Nova União,826.485797114853,8,9.67953717768277,2012
1101450,Parecis,2549.96213843291,13,5.09811491083126,2012
1101468,Pimenteiras do Oeste,5982.70565416405,209,34.9340268569845,2012
1101476,Primavera de Rondônia,606.686912821838,9,14.8346697609463,2012
1101484,São Felipe D'oeste,541.926460745059,2,3.69053763724756,2012
1101492,São Francisco do Guaporé,10944.001150325,115,10.5080398311714,2012
1101500,Seringueiras,3775.33392372728,65,17.2170200870146,2012
1101559,Teixeirópolis,462.348227975037,1,2.16287192097553,2012
1101609,Theobroma,2196.98970758641,238,108.330047782274,2012
1101708,Urupá,828.410405661776,5,6.03565571584745,2012
1101757,Vale do Anari,3142.7673074933,52,16.5459274939053,2012
1101807,Vale do Paraíso,964.551006716556,28,29.0290506204698,2012
1200013,Acrelândia,1816.29481368348,143,78.7317119019863,2012
1200054,Assis Brasil,4979.88179233693,18,3.61454362786251,2012
1200104,Brasiléia,3926.12342660549,93,23.6874876041295,2012
1200138,Bujari,3016.75719431093,79,26.1870594521097,2012
1200179,Capixaba,1716.37424490339,83,48.3577519567544,2012
1200203,Cruzeiro do Sul,8923.66608400285,186,20.8434513628245,2012
1200252,Epitaciolândia,1658.74102578366,65,39.1863461442339,2012
1200302,Feijó,27964.2850684576,308,11.0140487856566,2012
1200328,Jordão,5358.16940495014,54,10.0780688177033,2012
1200336,Mâncio Lima,5400.2516938694,110,20.3694209521524,2012
1200344,Manoel Urbano,10648.0461802283,131,12.3027265080091,2012
1200351,Marechal Thaumaturgo,8163.75974117839,111,13.5966764724972,2012
1200385,Plácido de Castro,1943.53672121127,69,35.5022877864624,2012
1200393,Porto Walter,6473.80587125179,92,14.211115042628,2012
1200401,Rio Branco,8822.95612516589,280,31.7353952607052,2012
1200427,Rodrigues Alves,2871.38036223574,91,31.6920743753868,2012
1200435,Santa Rosa do Purus,6130.47708380029,44,7.1772554400814,2012
1200450,Senador Guiomard,2325.8604273956,104,44.7146349690702,2012
1200500,Sena Madureira,23730.591424199,290,12.220512957982,2012
1200609,Tarauacá,20223.8588119565,442,21.8553740960002,2012
1200708,Xapuri,5350.98261162685,69,12.8948279237675,2012
1200807,Porto Acre,2618.26465157661,76,29.0268594331119,2012
1300029,Alvarães,6049.30101627177,76,12.5634349812599,2012
1300060,Amaturá,4770.46097980788,22,4.61171364635835,2012
1300086,Anamã,2429.44896836386,36,14.8181750136718,2012
1300102,Anori,5866.06818478331,21,3.57991065539851,2012
1300144,Apuí,54230.4602923397,3281,60.5010538784503,2012
1300201,Atalaia do Norte,76400.3127555674,39,0.510469114501865,2012
1300300,Autazes,7712.75501865416,128,16.5958856064296,2012
1300409,Barcelos,122453.934425296,11,0.0898296984219046,2012
1300508,Barreirinha,5782.98241081328,116,20.0588540236778,2012
1300607,Benjamin Constant,8727.78662905015,15,1.71864879808965,2012
