id,Country,Area km2
5,Venezuela,52376.7500883482
51,Suriname,1333.08924204447
82,Peru,957212.837287623
150,Guyana,16086.1883919998
161,France,460.684640180023
178,Ecuador,131462.667477283
195,Colombia,340112.670824091
211,Brazil,3719585.89221782
214,Bolivia,718283.970240857
