id,Municipality,Area km2,MODIS Fires,MODIS Fires per 1000km2,Year
1100015,Alta Floresta D'Oeste,7075.46281891544,103,14.5573516017413,2001
1100023,Ariquemes,4391.39477282046,76,17.3065743190261,2001
1100031,Cabixi,1309.03214544487,16,12.2227708889169,2001
1100049,Cacoal,3794.08007037817,7,1.84497951286049,2001
1100056,Cerejeiras,2785.82566173368,20,7.17920014691572,2001
1100064,Colorado do Oeste,1448.56790668314,2,1.38067396825014,2001
1100072,Corumbiara,3060.33665281827,27,8.82255877801405,2001
1100080,Costa Marques,4966.37037396192,43,8.65823463860927,2001
1100098,Espigão D'oeste,4518.59611134392,7,1.54915372551809,2001
1100106,Guajará-Mirim,24831.0141853027,12,0.483266608059155,2001
1100114,Jaru,2916.70982146976,7,2.39996449028743,2001
1100122,Ji-Paraná,6878.32257854719,15,2.18076425301476,2001
1100130,Machadinho D'oeste,8509.85794609803,92,10.8109912742062,2001
1100148,Nova Brasilândia D'oeste,1704.58399523373,22,12.9063748465991,2001
1100155,Ouro Preto do Oeste,1979.59135982278,3,1.51546428262274,2001
1100189,Pimenta Bueno,6242.21073969691,21,3.36419273166347,2001
1100205,Porto Velho,34091.0748780448,215,6.30663599693255,2001
1100254,Presidente Médici,1759.00155222961,10,5.6850433061441,2001
1100262,Rio Crespo,1727.80987349966,78,45.1438559278584,2001
1100288,Rolim de Moura,1455.0392772401,3,2.06180001249888,2001
1100296,Santa Luzia D'oeste,1195.305521462,1,0.836606191508998,2001
1100304,Vilhena,11526.9463530844,101,8.7620777356159,2001
1100320,São Miguel do Guaporé,7456.00271166598,95,12.7414116751002,2001
1100338,Nova Mamoré,10085.82957612,43,4.26340735538602,2001
1100346,Alvorada D'Oeste,3029.56768696574,84,27.7267282594139,2001
1100379,Alto Alegre dos Parecis,3921.63182694777,38,9.68984383972006,2001
1100403,Alto Paraíso,2645.84656273083,42,15.8739363769647,2001
1100452,Buritis,3264.20997938326,193,59.1260982654264,2001
1100502,Novo Horizonte do Oeste,840.556617205094,2,2.37937571254882,2001
1100601,Cacaulândia,1997.49417372716,80,40.0501793958811,2001
1100700,Campo Novo de Rondônia,3437.93778952101,86,25.0149959845498,2001
1100809,Candeias do Jamari,6839.09801018796,42,6.14116071116894,2001
1100908,Castanheiras,890.669924185334,12,13.4730046161332,2001
1100924,Chupinguaia,5122.88876474738,13,2.53763073862898,2001
1100940,Cujubim,3857.52466767164,80,20.7386878612722,2001
1101005,Governador Jorge Teixeira,5061.51127047508,48,9.48333362013726,2001
1101104,Itapuã do Oeste,4084.54032240828,22,5.38616301063435,2001
1101203,Ministro Andreazza,798.317881437347,1,1.25263384831056,2001
1101302,Mirante da Serra,1206.9523299704,13,10.7709307792784,2001
1101401,Monte Negro,1928.83597701334,39,20.21944865441,2001
1101435,Nova União,826.485797114853,3,3.62982644163104,2001
1101450,Parecis,2549.96213843291,2,0.784325370897117,2001
1101468,Pimenteiras do Oeste,5982.70565416405,19,3.17582062336223,2001
1101476,Primavera de Rondônia,606.686912821838,21,34.6142294422081,2001
1101492,São Francisco do Guaporé,10944.001150325,169,15.4422498388518,2001
1101500,Seringueiras,3775.33392372728,51,13.5087388375037,2001
1101609,Theobroma,2196.98970758641,17,7.73786055587672,2001
1101708,Urupá,828.410405661776,20,24.1426228633898,2001
1101757,Vale do Anari,3142.7673074933,32,10.1821092270186,2001
1101807,Vale do Paraíso,964.551006716556,14,14.5145253102349,2001
1200013,Acrelândia,1816.29481368348,14,7.70799976662803,2001
1200104,Brasiléia,3926.12342660549,8,2.03763334229071,2001
1200138,Bujari,3016.75719431093,26,8.61852589563105,2001
1200179,Capixaba,1716.37424490339,24,13.9829644212302,2001
1200203,Cruzeiro do Sul,8923.66608400285,3,0.336184699400395,2001
1200252,Epitaciolândia,1658.74102578366,13,7.83726922884678,2001
1200302,Feijó,27964.2850684576,17,0.607918277130396,2001
1200336,Mâncio Lima,5400.2516938694,3,0.55552966233143,2001
1200344,Manoel Urbano,10648.0461802283,1,0.0939139428092301,2001
1200385,Plácido de Castro,1943.53672121127,42,21.6100882178467,2001
1200401,Rio Branco,8822.95612516589,64,7.25380463101834,2001
1200427,Rodrigues Alves,2871.38036223574,3,1.04479366072704,2001
1200450,Senador Guiomard,2325.8604273956,48,20.6375238318786,2001
1200500,Sena Madureira,23730.591424199,9,0.379257298695992,2001
1200609,Tarauacá,20223.8588119565,6,0.296679286371043,2001
1200708,Xapuri,5350.98261162685,17,3.17698658991372,2001
1200807,Porto Acre,2618.26465157661,19,7.25671485827798,2001
1300029,Alvarães,6049.30101627177,1,0.165308355016578,2001
1300144,Apuí,54230.4602923397,112,2.06525999219336,2001
1300300,Autazes,7712.75501865416,2,0.259310712600462,2001
1300508,Barreirinha,5782.98241081328,3,0.518763466129598,2001
1300631,Beruri,17265.0912886241,3,0.173761027373003,2001
1300706,Boca do Acre,21967.7788439325,47,2.13949713960186,2001
1300805,Borba,44191.4936039227,1,0.0226287893539592,2001
1300904,Canutama,33677.9521713822,58,1.72219497506399,2001
1301100,Careiro,6105.76950110709,8,1.31023616246068,2001
1301159,Careiro da Várzea,2678.45045947077,3,1.12005058349773,2001
1301209,Coari,57844.7594763991,6,0.103725904547118,2001
1301407,Eirunepé,14973.978998615,18,1.20208529754616,2001
1301654,Guajará,7583.55561945798,3,0.395592799807858,2001
1301704,Humaitá,33127.6006515687,41,1.23763868175157,2001
1301803,Ipixuna,12080.1376031172,5,0.413902570009614,2001
1301852,Iranduba,2673.58093335223,3,1.12209058741248,2001
